geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId	DB
139	GO:0071560	cellular response to transforming growth factor beta stimulus	http://amigo.geneontology.org/amigo/term/GO:0071560	200	50	20.1872843765402	2.476806640625	7.70668528993212e-10	8.38991258198188e-08	607;659;677;857;1028;1030;1277;1278;1281;1284;1601;1745;1906;2200;2353;2805;3688;3693;4052;4053;4088;4092;5139;5371;5598;5654;5796;6497;6498;6714;6935;7040;7041;7043;7057;7472;7791;8425;8516;8692;8837;9076;9958;11117;27122;50507;51341;56937;57154;64750	BCL9;BMPR2;CAV1;CDKN1C;CDKN2B;CFLAR;CLDN1;COL1A1;COL1A2;COL3A1;COL4A2;DAB2;DKK3;DLX1;EDN1;EMILIN1;FBN1;FOS;GOT1;HTRA1;HYAL2;ITGA8;ITGB1;ITGB5;LTBP1;LTBP2;LTBP4;MAPK7;NOX4;PDE3A;PMEPA1;PML;PTPRK;SKI;SKIL;SMAD3;SMAD7;SMURF1;SMURF2;SRC;TGFB1;TGFB1I1;TGFB3;THBS1;USP15;WNT2;ZBTB7A;ZEB1;ZFP36L1;ZYX	geneontology_Biological_Process
140	GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	303	66	30.5837358304584	2.15800974628713	8.75157835089624e-10	9.34767642347615e-08	187;284;348;595;652;659;677;857;1001;1028;1030;1295;1296;1749;1948;1969;2064;2152;2191;2246;2735;3164;3357;3488;3912;4017;4088;4163;4323;4609;4851;5176;5335;5654;5764;5796;5797;6091;6387;6423;6495;6678;7010;7026;7040;7051;7057;7128;7291;7472;7538;7857;8013;8626;8817;8828;8829;8837;9037;10344;10765;54206;130497;153090;168667;253260	ANGPT1;APLNR;APOE;BMP4;BMPER;BMPR2;CAV1;CCL26;CCND1;CDH3;CDKN1C;CDKN2B;CFLAR;COL8A1;COL8A2;CXCL12;DAB2IP;DLX5;EFNB2;EPHA2;ERBB2;ERRFI1;F3;FAP;FGF1;FGF18;GLI1;HTR2B;HTRA1;IGFBP5;KDM5B;LAMB1;LOXL2;MCC;MMP14;MYC;NOTCH1;NR2F2;NR4A1;NR4A3;NRP1;NRP2;OSR1;PLCG1;PTN;PTPRK;PTPRM;RICTOR;ROBO1;SCG2;SEMA5A;SERPINF1;SFRP2;SIX1;SMAD3;SPARC;TEK;TGFB1;TGM1;THBS1;TNFAIP3;TP63;TWIST1;WNT2;ZFP36;ZFP36L1	geneontology_Biological_Process
141	GO:0007266	Rho protein signal transduction	http://amigo.geneontology.org/amigo/term/GO:0007266	165	44	16.6545096106456	2.64192708333333	9.21834386602427e-10	9.66389715288211e-08	150;348;388;390;392;397;604;1278;1281;2149;2150;2151;2846;3688;3984;4650;5159;5923;6091;6453;7074;7204;8829;8874;9138;9181;9411;9475;9828;10161;10276;10395;10630;11135;11214;25959;55785;56882;57381;57449;58480;64411;64857;148170	ADRA2A;AKAP13;APOE;ARAP3;ARHGAP1;ARHGAP29;ARHGDIB;ARHGEF1;ARHGEF17;ARHGEF2;ARHGEF7;BCL6;CDC42EP1;CDC42EP5;CDC42SE1;COL1A2;COL3A1;DLC1;F2R;F2RL1;F2RL2;FGD6;ITGB1;ITSN1;KANK2;LIMK1;LPAR4;LPAR6;MYO9B;NET1;NRP1;PDGFRB;PDPN;PLEKHG2;PLEKHG5;RASGRF1;RHOB;RHOJ;RHOU;RND3;ROBO1;ROCK2;TIAM1;TRIO	geneontology_Biological_Process
142	GO:0010595	positive regulation of endothelial cell migration	http://amigo.geneontology.org/amigo/term/GO:0010595	84	29	8.47865943814687	3.42035202752976	1.1148685308271e-09	1.14750377327494e-07	284;301;388;652;659;958;1906;2113;2246;4215;4846;5335;5743;6678;7010;7040;7057;7114;8817;8828;8829;9037;9475;10769;27086;27286;51564;57381;80149	ANGPT1;ANXA1;BMP4;BMPR2;CD40;EDN1;ETS1;FGF1;FGF18;FOXP1;HDAC7;MAP3K3;NOS3;NRP1;NRP2;PLCG1;PLK2;PTGS2;RHOB;RHOJ;ROCK2;SEMA5A;SPARC;SRPX2;TEK;TGFB1;THBS1;TMSB4X;ZC3H12A	geneontology_Biological_Process
143	GO:0043534	blood vessel endothelial cell migration	http://amigo.geneontology.org/amigo/term/GO:0043534	100	32	10.0936421882701	3.1703125	1.39162481538335e-09	1.40678358569378e-07	284;301;348;958;1942;1948;1969;2013;2050;2113;3164;3688;4215;4223;4627;4846;4851;5335;5743;6091;7040;7057;7114;8817;8829;9314;9353;10769;27286;29775;51564;57381	ANGPT1;ANXA1;APOE;CARD10;CD40;EFNA1;EFNB2;EMP2;EPHA2;EPHB4;ETS1;FGF18;HDAC7;ITGB1;KLF4;MAP3K3;MEOX2;MYH9;NOS3;NOTCH1;NR4A1;NRP1;PLCG1;PLK2;PTGS2;RHOJ;ROBO1;SLIT2;SRPX2;TGFB1;THBS1;TMSB4X	geneontology_Biological_Process
144	GO:0032963	collagen metabolic process	http://amigo.geneontology.org/amigo/term/GO:0032963	75	27	7.57023164120256	3.5666015625	1.44364720178203e-09	1.43376961566457e-07	652;871;1277;1289;1513;2149;2191;2805;3569;3673;3688;4239;4313;4320;4323;4327;5159;7040;7043;7148;7431;9509;9697;9902;11117;54206;57333	ADAMTS2;BMP4;COL1A1;COL5A1;CTSK;EMILIN1;ERRFI1;F2R;FAP;GOT1;IL6;ITGA2;ITGB1;MFAP4;MMP11;MMP14;MMP19;MMP2;MRC2;PDGFRB;RCN3;SERPINH1;TGFB1;TGFB3;TNXB;TRAM2;VIM	geneontology_Biological_Process
145	GO:1904018	positive regulation of vasculature development	http://amigo.geneontology.org/amigo/term/GO:1904018	150	41	15.1404632824051	2.70797526041667	1.55365142973096e-09	1.51641736960465e-07	187;301;388;861;958;1948;2113;2152;2246;2549;2627;3082;3678;3688;3696;4215;4846;4851;5054;5335;5743;6237;6423;7010;7057;7291;8038;8091;8817;8829;8837;9037;9314;10769;27286;28514;51564;57381;80149;126393;168667	ADAM12;ANXA1;APLNR;BMPER;CD40;CFLAR;DLL1;EFNB2;ETS1;F3;FGF1;FGF18;GAB1;GATA6;HDAC7;HGF;HMGA2;HSPB6;ITGA5;ITGB1;ITGB8;KLF4;MAP3K3;NOS3;NOTCH1;NRP1;PLCG1;PLK2;PTGS2;RHOB;RHOJ;RRAS;RUNX1;SEMA5A;SERPINE1;SFRP2;SRPX2;TEK;THBS1;TWIST1;ZC3H12A	geneontology_Biological_Process
146	GO:0060537	muscle tissue development	http://amigo.geneontology.org/amigo/term/GO:0060537	308	66	31.0884179398719	2.12297712053571	1.79006565126372e-09	1.71755282233964e-07	406;467;607;652;659;688;857;905;1281;1634;1655;1901;1906;1948;2296;2353;2627;2735;3488;3688;3720;4000;4088;4092;4223;4628;4629;4638;4851;5156;5159;5311;5350;5914;5997;6443;6495;6497;6840;7026;7040;7168;7291;7472;7763;7832;8516;8837;8910;9242;9794;10512;10521;10848;11214;23414;23493;23764;25976;26471;26508;28514;50507;55692;64321;130497	AKAP13;ARNTL;ATF3;BCL9;BMP4;BMPR2;BTG2;CAV1;CCNT2;CFLAR;COL3A1;DCN;DDX17;DDX5;DLL1;EDN1;EFNB2;FOS;FOXC1;GATA6;GLI1;HEY2;HEYL;IGFBP5;ITGA8;ITGB1;JARID2;KLF5;LMNA;LUC7L;MAFF;MAML1;MEOX2;MSC;MYH10;MYH11;MYLK;NOTCH1;NOX4;NR2F2;NUPR1;OSR1;PDGFRA;PDGFRB;PKD2;PLN;PPP1R13L;RARA;RGS2;S1PR1;SEMA3C;SGCB;SGCE;SIX1;SKI;SMAD3;SMAD7;SOX17;SVIL;TGFB1;TIPARP;TPM1;TWIST1;WNT2;ZFAND5;ZFPM2	geneontology_Biological_Process
147	GO:1903034	regulation of response to wounding	http://amigo.geneontology.org/amigo/term/GO:1903034	129	37	13.0207984228684	2.84160761870155	2.30306396176161e-09	2.17294084792208e-07	150;177;301;302;348;710;825;857;1839;1906;2043;2149;2150;2152;2191;4088;4638;4846;5054;5154;5156;5270;5327;5328;5329;6403;7035;7056;7057;7128;9314;10630;51330;56963;81565;90102;114897	ADRA2A;AGER;ANXA1;ANXA2;APOE;C1QTNF1;CAPN3;CAV1;EDN1;EPHA4;F2R;F2RL1;F3;FAP;HBEGF;KLF4;MYLK;NDEL1;NOS3;PDGFA;PDGFRA;PDPN;PHLDB2;PLAT;PLAU;PLAUR;RGMA;SELP;SERPINE1;SERPINE2;SERPING1;SMAD3;TFPI;THBD;THBS1;TNFAIP3;TNFRSF12A	geneontology_Biological_Process
148	GO:0045766	positive regulation of angiogenesis	http://amigo.geneontology.org/amigo/term/GO:0045766	135	38	13.6264169541646	2.78870081018519	2.51117837635206e-09	2.33045586697197e-07	187;301;388;861;958;2113;2152;2246;2549;2627;3082;3678;3688;3696;4215;4846;5054;5335;5743;6237;6423;7010;7057;7291;8038;8091;8817;8829;9037;9314;10769;27286;28514;51564;57381;80149;126393;168667	ADAM12;ANXA1;APLNR;BMPER;CD40;DLL1;ETS1;F3;FGF1;FGF18;GAB1;GATA6;HDAC7;HGF;HMGA2;HSPB6;ITGA5;ITGB1;ITGB8;KLF4;MAP3K3;NOS3;NRP1;PLCG1;PLK2;PTGS2;RHOB;RHOJ;RRAS;RUNX1;SEMA5A;SERPINE1;SFRP2;SRPX2;TEK;THBS1;TWIST1;ZC3H12A	geneontology_Biological_Process
149	GO:0001655	urogenital system development	http://amigo.geneontology.org/amigo/term/GO:0001655	271	60	27.3537703302119	2.19348189575646	2.70418754055868e-09	2.46909768824237e-07	38;59;182;284;301;652;1028;1282;1634;1948;2043;2200;2246;2296;2735;2736;3371;3691;3911;3976;4038;4088;4092;4609;4811;4851;4854;5154;5156;5159;5176;5310;5311;5324;5914;5916;6385;6495;6659;7010;7040;8516;8626;8692;8829;8837;9244;9353;9510;10272;25959;25976;26508;27031;28514;64321;84159;84662;130497;168667	ACAT1;ACTA2;ADAMTS1;ANGPT1;ANXA1;ARID5B;BMP4;BMPER;CDKN1C;CFLAR;COL4A1;CRLF1;DCN;DLL1;EFNB2;EPHA4;FBN1;FGF1;FOXC1;FSTL3;GLI1;GLI2;GLIS2;HEYL;HYAL2;ITGA8;ITGB4;JAG1;KANK2;LAMA5;LIF;LRP4;MYC;NID1;NOTCH1;NOTCH3;NPHP3;NRP1;OSR1;PDGFA;PDGFRA;PDGFRB;PKD1;PKD2;PLAG1;RARA;RARG;SDC4;SERPINF1;SIX1;SLIT2;SMAD3;SMAD7;SOX17;SOX4;TEK;TGFB1;TIPARP;TNC;TP63	geneontology_Biological_Process
150	GO:0003176	aortic valve development	http://amigo.geneontology.org/amigo/term/GO:0003176	26	15	2.62434696895022	5.71570763221154	2.76004019639231e-09	2.4800932621868e-07	182;652;1942;2006;4846;4851;6091;6615;7040;7132;7133;7291;9353;9475;11117	BMP4;EFNA1;ELN;EMILIN1;JAG1;NOS3;NOTCH1;ROBO1;ROCK2;SLIT2;SNAI1;TGFB1;TNFRSF1A;TNFRSF1B;TWIST1	geneontology_Biological_Process
151	GO:0030199	collagen fibril organization	http://amigo.geneontology.org/amigo/term/GO:0030199	41	19	4.13839329719073	4.59115377286585	2.85470225236395e-09	2.5250733516613e-07	165;302;871;1277;1278;1281;1289;1290;1311;2296;4017;4060;4320;6423;7148;9509;11117;50509;84695	ADAMTS2;AEBP1;ANXA2;COL1A1;COL1A2;COL3A1;COL5A1;COL5A2;COL5A3;COMP;EMILIN1;FOXC1;LOXL2;LOXL3;LUM;MMP11;SERPINH1;SFRP2;TNXB	geneontology_Biological_Process
152	GO:0061448	connective tissue development	http://amigo.geneontology.org/amigo/term/GO:0061448	195	48	19.6826022671267	2.43870192307692	2.93719060184827e-09	2.55806707647124e-07	38;59;302;649;652;659;860;871;1277;1289;1291;1292;1293;1294;1311;1513;1906;2261;2736;3200;3213;3696;4017;4060;4088;4148;4487;4851;5154;5159;5310;5396;5914;5916;6423;6615;6935;7040;7045;7059;7076;8091;8609;8692;8817;8837;84159;130497	ACAT1;ACTA2;ANXA2;ARID5B;BMP1;BMP4;BMPR2;CFLAR;COL1A1;COL5A1;COL6A1;COL6A2;COL6A3;COL7A1;COMP;CTSK;EDN1;FGF18;FGFR3;GLI2;HMGA2;HOXA3;HOXB3;HYAL2;ITGB8;KLF7;LOXL2;LUM;MATN3;MSX1;NOTCH1;OSR1;PDGFA;PDGFRB;PKD1;PRRX1;RARA;RARG;RUNX2;SERPINH1;SFRP2;SMAD3;SNAI1;TGFB1;TGFBI;THBS3;TIMP1;ZEB1	geneontology_Biological_Process
153	GO:0007492	endoderm development	http://amigo.geneontology.org/amigo/term/GO:0007492	63	24	6.35899457861015	3.77418154761905	3.17028636676042e-09	2.71924107912587e-07	652;677;1284;1289;1290;1291;1294;1295;2131;2627;3624;3678;3679;3693;3909;3912;4088;4313;4323;4851;7040;8091;64321;83595	BMP4;COL4A2;COL5A1;COL5A2;COL6A1;COL7A1;COL8A1;EXT1;GATA6;HMGA2;INHBA;ITGA5;ITGA7;ITGB5;LAMA3;LAMB1;MMP14;MMP2;NOTCH1;SMAD3;SOX17;SOX7;TGFB1;ZFP36L1	geneontology_Biological_Process
154	GO:0010810	regulation of cell-substrate adhesion	http://amigo.geneontology.org/amigo/term/GO:0010810	166	43	16.7554460325283	2.56632977221386	3.77332876055902e-09	3.1481198248251e-07	81;182;347;604;683;1277;1295;2013;2042;2192;2199;2316;3678;3956;4088;4287;4323;4739;4811;4851;5054;5328;5764;6281;6385;6695;6714;7010;7057;7070;8829;8874;9448;9475;9647;9806;10085;10395;10630;11117;23499;90102;201294	ACTN4;APOD;ARHGEF7;ATXN3;BCL6;BST1;COL1A1;COL8A1;DLC1;EDIL3;EMILIN1;EMP2;EPHA3;FBLN1;FBLN2;FLNA;ITGA5;JAG1;LGALS1;MACF1;MAP4K4;MMP14;NEDD9;NID1;NOTCH1;NRP1;PDPN;PHLDB2;PLAU;PPM1F;PTN;ROCK2;S100A10;SDC4;SERPINE1;SMAD3;SPOCK1;SPOCK2;SRC;TEK;THBS1;THY1;UNC13D	geneontology_Biological_Process
155	GO:0061041	regulation of wound healing	http://amigo.geneontology.org/amigo/term/GO:0061041	109	33	11.0020699852144	2.99943556479358	3.78152531510523e-09	3.1481198248251e-07	150;177;301;302;348;710;825;857;1839;1906;2149;2150;2152;2191;4088;4638;4846;5054;5154;5156;5270;5327;5328;5329;6403;7035;7056;7057;7128;10630;51330;90102;114897	ADRA2A;AGER;ANXA1;ANXA2;APOE;C1QTNF1;CAPN3;CAV1;EDN1;F2R;F2RL1;F3;FAP;HBEGF;MYLK;NOS3;PDGFA;PDGFRA;PDPN;PHLDB2;PLAT;PLAU;PLAUR;SELP;SERPINE1;SERPINE2;SERPING1;SMAD3;TFPI;THBD;THBS1;TNFAIP3;TNFRSF12A	geneontology_Biological_Process
156	GO:0010634	positive regulation of epithelial cell migration	http://amigo.geneontology.org/amigo/term/GO:0010634	120	35	12.1123706259241	2.88960774739583	3.8387458767275e-09	3.14944063886295e-07	284;301;388;652;659;958;1839;1906;2113;2246;3673;4215;4846;5335;5743;6678;6714;7010;7040;7057;7114;8817;8828;8829;9037;9448;9475;9647;10013;10769;27086;27286;51564;57381;80149	ANGPT1;ANXA1;BMP4;BMPR2;CD40;EDN1;ETS1;FGF1;FGF18;FOXP1;HBEGF;HDAC6;HDAC7;ITGA2;MAP3K3;MAP4K4;NOS3;NRP1;NRP2;PLCG1;PLK2;PPM1F;PTGS2;RHOB;RHOJ;ROCK2;SEMA5A;SPARC;SRC;SRPX2;TEK;TGFB1;THBS1;TMSB4X;ZC3H12A	geneontology_Biological_Process
157	GO:0060349	bone morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0060349	83	28	8.37772301626417	3.3421969126506	3.92213128641572e-09	3.17188360177134e-07	302;652;659;860;871;1277;1291;1292;1293;1294;1311;1749;2261;2296;4148;4323;4487;4664;5914;5916;6423;6497;7010;7040;7043;7059;7291;8817	ANXA2;BMP4;BMPR2;COL1A1;COL6A1;COL6A2;COL6A3;COL7A1;COMP;DLX5;FGF18;FGFR3;FOXC1;MATN3;MMP14;MSX1;NAB1;RARA;RARG;RUNX2;SERPINH1;SFRP2;SKI;TEK;TGFB1;TGFB3;THBS3;TWIST1	geneontology_Biological_Process
158	GO:0090287	regulation of cellular response to growth factor stimulus	http://amigo.geneontology.org/amigo/term/GO:0090287	203	49	20.4900936421883	2.39139951508621	4.05416877846676e-09	3.20685687268951e-07	607;652;659;857;860;1028;1030;1601;1634;1745;2200;2246;2805;3678;4052;4088;4092;4487;4851;5654;6091;6423;6497;6498;6935;7040;7041;7043;7057;8425;8516;8646;8817;8837;9353;10253;10272;11117;22905;23090;27122;28514;51341;56937;57154;64750;91851;153090;168667	BCL9;BMP4;BMPER;BMPR2;CAV1;CDKN1C;CDKN2B;CFLAR;CHRD;CHRDL1;DAB2;DAB2IP;DCN;DKK3;DLL1;DLX1;EMILIN1;EPN2;FBN1;FGF1;FGF18;FSTL3;GOT1;HTRA1;ITGA5;ITGA8;LTBP1;LTBP4;MSX1;NOTCH1;PMEPA1;ROBO1;RUNX2;SFRP2;SKI;SKIL;SLIT2;SMAD3;SMAD7;SMURF1;SMURF2;SPRY2;TGFB1;TGFB1I1;TGFB3;THBS1;ZBTB7A;ZEB1;ZNF423	geneontology_Biological_Process
159	GO:0010975	regulation of neuron projection development	http://amigo.geneontology.org/amigo/term/GO:0010975	383	76	38.6586495810744	1.96592485313316	4.07867328799938e-09	3.20685687268951e-07	27;112;348;627;659;1123;1400;1742;1808;1809;1942;1948;2042;2043;2242;3082;3956;3984;4035;4038;4343;5176;5361;5364;5376;5396;5764;5789;5793;5997;6091;6387;6405;6423;6498;6695;7025;7070;7074;7431;8482;8507;8829;8837;9037;9314;9353;9448;9839;10509;10512;10677;10769;22891;23129;23373;23499;26052;50807;51330;54149;54413;54434;54910;54961;55558;55704;56963;57154;57498;57715;81565;85358;116983;153090;221935	ABL2;ACAP3;ADCY6;APOE;ASAP1;AVIL;BDNF;BMPR2;C21orf91;CCDC88A;CFLAR;CHN1;CRMP1;CRTC1;CXCL12;DAB2IP;DLG4;DNM3;DPYSL2;DPYSL3;EFNA1;EFNB2;ENC1;EPHA3;EPHA4;FES;HGF;KIDINS220;KLF4;LGALS1;LIMK1;LRP1;LRP4;MACF1;MAP4K4;MOV10;NDEL1;NLGN3;NR2F1;NRP1;PLK2;PLXNA1;PLXNA3;PLXNB1;PLXND1;PMP22;PRRX1;PTN;PTPRD;PTPRG;RGMA;RGS2;ROBO1;SDK1;SEMA3C;SEMA3F;SEMA4B;SEMA4C;SEMA4G;SEMA5A;SEMA7A;SERPINF1;SFRP2;SHANK3;SKIL;SLIT2;SMURF1;SPOCK1;SSH1;SSH3;THY1;TIAM1;TNFRSF12A;VIM;ZEB2;ZNF365	geneontology_Biological_Process
160	GO:0050678	regulation of epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050678	261	58	26.3444061113849	2.20160590277778	4.32706825925777e-09	3.35555252269291e-07	187;284;348;595;652;659;677;857;1001;1028;1030;1749;1948;2064;2152;2246;2735;3164;3357;3912;4088;4163;4609;4851;5176;5335;5654;5764;5796;5797;6091;6387;6423;6495;6678;7010;7026;7040;7051;7057;7128;7291;7472;7538;7857;8013;8626;8817;8828;8829;8837;9037;10344;10765;54206;130497;153090;253260	ANGPT1;APLNR;APOE;BMP4;BMPR2;CAV1;CCL26;CCND1;CDH3;CDKN1C;CDKN2B;CFLAR;CXCL12;DAB2IP;DLX5;EFNB2;ERBB2;ERRFI1;F3;FGF1;FGF18;GLI1;HTR2B;HTRA1;KDM5B;LAMB1;MCC;MYC;NOTCH1;NR2F2;NR4A1;NR4A3;NRP1;NRP2;OSR1;PLCG1;PTN;PTPRK;PTPRM;RICTOR;ROBO1;SCG2;SEMA5A;SERPINF1;SFRP2;SIX1;SMAD3;SPARC;TEK;TGFB1;TGM1;THBS1;TNFAIP3;TP63;TWIST1;WNT2;ZFP36;ZFP36L1	geneontology_Biological_Process
161	GO:0007229	integrin-mediated signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007229	89	29	8.98334154756038	3.22819741924157	5.14890208247465e-09	3.93891009309311e-07	667;683;1281;1601;2013;2192;2316;3673;3678;3679;3680;3688;3691;3693;3696;3911;4627;4739;6714;7070;7076;7094;7791;8482;8516;8829;9510;22801;84695	ADAMTS1;BST1;COL3A1;DAB2;DST;EMP2;FBLN1;FLNA;ITGA11;ITGA2;ITGA5;ITGA7;ITGA8;ITGA9;ITGB1;ITGB4;ITGB5;ITGB8;LAMA5;LOXL3;MYH9;NEDD9;NRP1;SEMA7A;SRC;THY1;TIMP1;TLN1;ZYX	geneontology_Biological_Process
162	GO:0050878	regulation of body fluid levels	http://amigo.geneontology.org/amigo/term/GO:0050878	422	81	42.5951700344998	1.90162405583531	6.17399609215141e-09	4.66013225035589e-07	87;109;112;113;150;187;302;348;362;558;595;710;790;857;958;1036;1277;1278;1281;1311;1606;1906;2013;2149;2150;2151;2152;2153;2191;2192;2316;2627;2769;2771;2776;3569;3673;4302;4627;4846;5021;5054;5066;5154;5156;5270;5293;5327;5328;5329;5912;6403;6583;6714;7035;7056;7057;7094;7414;7975;8323;8525;8527;8626;8692;9076;10398;10544;10630;23348;23414;23764;30845;30846;51317;54843;64780;79152;114897;160851;196883	ACTN1;ADCY3;ADCY4;ADCY6;ADCY7;ADRA2A;ANXA2;APLNR;APOE;AQP5;AXL;C1QTNF1;CAD;CAV1;CCND1;CD40;CDO1;CLDN1;COL1A1;COL1A2;COL3A1;COMP;DGKA;DGKD;DGKH;DGKZ;DOCK9;EDN1;EHD2;EHD3;EMP2;F2R;F2RL1;F2RL2;F3;F5;FA2H;FAP;FBLN1;FLNA;FZD6;GATA6;GNA15;GNAI2;GNAQ;HYAL2;IL6;ITGA2;MAFF;MAFK;MICAL1;MLLT6;MYH9;MYL9;NOS3;OXTR;PAM;PDGFA;PDGFRA;PDPN;PHF21A;PIK3CD;PLAT;PLAU;PLAUR;PROCR;RAP2B;SELP;SERPINE1;SERPINE2;SERPING1;SLC22A4;SRC;SYTL2;TFPI;THBD;THBS1;TLN1;TP63;VCL;ZFPM2	geneontology_Biological_Process
163	GO:0007369	gastrulation	http://amigo.geneontology.org/amigo/term/GO:0007369	145	39	14.6357811729916	2.66470231681034	6.41672492918133e-09	4.77961576632836e-07	187;652;659;1284;1289;1290;1291;1294;1295;1969;2114;2131;2296;2627;3624;3673;3678;3679;3688;3691;3693;3909;3912;4088;4313;4323;5598;6423;6615;8013;8091;8516;8646;9314;27031;64321;83595;90102;130497	APLNR;BMP4;BMPR2;CHRD;COL4A2;COL5A1;COL5A2;COL6A1;COL7A1;COL8A1;EPHA2;ETS2;EXT1;FOXC1;GATA6;HMGA2;INHBA;ITGA2;ITGA5;ITGA7;ITGA8;ITGB1;ITGB4;ITGB5;KLF4;LAMA3;LAMB1;MAPK7;MMP14;MMP2;NPHP3;NR4A3;OSR1;PHLDB2;SFRP2;SMAD3;SNAI1;SOX17;SOX7	geneontology_Biological_Process
164	GO:0003170	heart valve development	http://amigo.geneontology.org/amigo/term/GO:0003170	47	20	4.74401182848694	4.21584109042553	6.86950629713579e-09	5.05042534390723e-07	182;639;652;659;1942;2006;4846;4851;6091;6615;6659;7040;7132;7133;7291;9353;9475;11117;23493;26508	BMP4;BMPR2;EFNA1;ELN;EMILIN1;HEY2;HEYL;JAG1;NOS3;NOTCH1;PRDM1;ROBO1;ROCK2;SLIT2;SNAI1;SOX4;TGFB1;TNFRSF1A;TNFRSF1B;TWIST1	geneontology_Biological_Process
165	GO:0072001	renal system development	http://amigo.geneontology.org/amigo/term/GO:0072001	239	54	24.1238048299655	2.23845286349372	8.09068334550744e-09	5.87196902806636e-07	38;59;182;284;652;1028;1282;1634;1948;2043;2200;2246;2296;2736;3691;3911;3976;4038;4088;4092;4609;4811;4851;4854;5154;5156;5159;5176;5310;5311;5914;6385;6495;6659;7010;7040;8516;8692;8829;8837;9244;9353;9510;10272;25959;25976;26508;27031;28514;64321;84159;84662;130497;168667	ACAT1;ACTA2;ADAMTS1;ANGPT1;ARID5B;BMP4;BMPER;CDKN1C;CFLAR;COL4A1;CRLF1;DCN;DLL1;EFNB2;EPHA4;FBN1;FGF1;FOXC1;FSTL3;GLI2;GLIS2;HEYL;HYAL2;ITGA8;ITGB4;JAG1;KANK2;LAMA5;LIF;LRP4;MYC;NID1;NOTCH1;NOTCH3;NPHP3;NRP1;OSR1;PDGFA;PDGFRA;PDGFRB;PKD1;PKD2;RARA;SDC4;SERPINF1;SIX1;SLIT2;SMAD3;SMAD7;SOX17;SOX4;TEK;TGFB1;TIPARP	geneontology_Biological_Process
166	GO:0048844	artery morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0048844	52	21	5.24869393790044	4.00099534254808	8.97725949133843e-09	6.40216166905572e-07	182;348;639;652;659;1281;1311;1948;2296;4035;4092;4638;4851;4854;5159;5311;5396;6495;6659;8829;23493	APOE;BMP4;BMPR2;COL3A1;COMP;EFNB2;FOXC1;HEY2;JAG1;LRP1;MYLK;NOTCH1;NOTCH3;NRP1;PDGFRB;PKD2;PRDM1;PRRX1;SIX1;SMAD7;SOX4	geneontology_Biological_Process
167	GO:0007596	blood coagulation	http://amigo.geneontology.org/amigo/term/GO:0007596	286	61	28.8678166584524	2.11307979130245	9.04739327900472e-09	6.40216166905572e-07	87;150;302;348;558;710;857;958;1277;1278;1281;1311;1606;1906;2149;2150;2151;2152;2153;2191;2192;2316;2627;2769;2776;3569;3673;4627;4846;5054;5154;5156;5270;5293;5327;5328;5329;5912;6403;6714;7035;7056;7057;7094;7414;7975;8323;8525;8527;10398;10544;10630;23348;23414;23764;30845;30846;51317;64780;114897;160851	ACTN1;ADRA2A;ANXA2;APOE;AXL;C1QTNF1;CAV1;CD40;COL1A1;COL1A2;COL3A1;COMP;DGKA;DGKD;DGKH;DGKZ;DOCK9;EDN1;EHD2;EHD3;F2R;F2RL1;F2RL2;F3;F5;FAP;FBLN1;FLNA;FZD6;GATA6;GNA15;GNAQ;IL6;ITGA2;MAFF;MAFK;MICAL1;MYH9;MYL9;NOS3;PDGFA;PDGFRA;PDPN;PHF21A;PIK3CD;PLAT;PLAU;PLAUR;PROCR;RAP2B;SELP;SERPINE1;SERPINE2;SERPING1;SRC;TFPI;THBD;THBS1;TLN1;VCL;ZFPM2	geneontology_Biological_Process
168	GO:0060541	respiratory system development	http://amigo.geneontology.org/amigo/term/GO:0060541	153	40	15.4432725480532	2.59012459150327	9.95506621581654e-09	6.95748516638734e-07	652;659;1749;2246;2627;2735;2736;3371;3488;3911;3976;4323;4846;4851;5154;5156;5159;5310;5764;5914;5916;6310;6495;6497;6678;7043;7472;8817;9242;9509;10253;10272;10630;23152;23414;27031;54206;57333;84695;171023	ADAMTS2;ASXL1;ATXN1;BMP4;BMPR2;CIC;DLX5;ERRFI1;FGF1;FGF18;FSTL3;GATA6;GLI1;GLI2;IGFBP5;LAMA5;LIF;LOXL3;MMP14;MSC;NOS3;NOTCH1;NPHP3;PDGFA;PDGFRA;PDGFRB;PDPN;PKD1;PTN;RARA;RARG;RCN3;SIX1;SKI;SPARC;SPRY2;TGFB3;TNC;WNT2;ZFPM2	geneontology_Biological_Process
